@T,D4,,,,
descr,observed soil water content at probe D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,31.01.2020,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1572,,,
x,,513672,,,
y,,4495127,,,
,06.07.2003,0.29364009,0.429434472,0.320168809,0.214160843
,07.07.2003,0.29273977,0.42954108,0.32087531,0.215060989
,08.07.2003,0.291109712,0.428826285,0.321182442,0.215986308
,09.07.2003,0.292089088,0.428559971,0.321196735,0.216905374
,10.07.2003,0.292287688,0.428795142,0.321350385,0.217806573
,11.07.2003,0.292340381,0.428972672,0.321600608,0.218710031
,12.07.2003,0.29188446,0.428875025,0.32180802,0.219664969
,13.07.2003,0.291564688,0.428795144,0.321940365,0.220697931
,14.07.2003,0.291383476,0.428746329,0.322087076,0.221789138
,15.07.2003,0.291215272,0.428843961,0.322276782,0.22294786
,16.07.2003,0.288740397,0.428072243,0.322387765,0.224168845
,17.07.2003,0.28744045,0.4272259,0.322208761,0.225464403
,18.07.2003,0.286603711,0.426942522,0.322087081,0.226785099
,19.07.2003,0.284250064,0.426623937,0.322094242,0.228169655
,20.07.2003,0.281722537,0.425898715,0.322036974,0.229633639
,21.07.2003,0.276366296,0.42435371,0.321804451,0.231162924
,22.07.2003,0.272504156,0.422723546,0.321214618,0.232761229
,23.07.2003,0.26798475,0.421624295,0.320711067,0.234338985
,24.07.2003,0.263626034,0.420610151,0.320300705,0.235947303
,25.07.2003,0.260374673,0.419816481,0.31999761,0.237595585
,26.07.2003,0.256740155,0.419085097,0.319844352,0.239284243
,27.07.2003,0.253416055,0.418078948,0.319719627,0.241071914
,28.07.2003,0.249817743,0.416912854,0.319559324,0.242938277
,29.07.2003,0.245185956,0.415060805,0.31926734,0.244841027
,30.07.2003,0.240278657,0.412333051,0.318602076,0.246761932
,31.07.2003,0.236599492,0.409606975,0.317678455,0.248623124
,01.08.2003,0.231590832,0.406814557,0.316653694,0.250386154
,02.08.2003,0.225347464,0.403917812,0.315549568,0.252059083
,03.08.2003,0.220569723,0.4016173,0.314532376,0.253666068
,04.08.2003,0.215566559,0.399563763,0.313724977,0.25516506
,05.08.2003,0.209669019,0.397020051,0.312946965,0.256608965
,06.08.2003,0.204308959,0.394456503,0.312191186,0.25807049
,07.08.2003,0.201210108,0.392373249,0.311394399,0.259527351
,08.08.2003,0.197951046,0.390306063,0.310609372,0.26098909
,09.08.2003,0.194464398,0.388160902,0.309514399,0.262420283
,10.08.2003,0.191606955,0.38623183,0.308289218,0.263788288
,11.08.2003,0.189229622,0.383751762,0.307028652,0.265043837
,12.08.2003,0.186907577,0.381177376,0.305739958,0.266267232
,13.08.2003,0.184550094,0.37811161,0.304295356,0.267419006
,14.08.2003,0.182108414,0.374241889,0.302713394,0.268469258
,15.08.2003,0.180224698,0.369931279,0.301022873,0.269479421
,16.08.2003,0.178496608,0.365735326,0.299002725,0.270393438
,17.08.2003,0.17729913,0.362072305,0.296768651,0.271220605
,18.08.2003,0.176001542,0.359233173,0.294900909,0.271990035
,19.08.2003,0.173051645,0.356044996,0.292396064,0.272691538
,20.08.2003,0.172367978,0.351753732,0.288430212,0.27330829
,21.08.2003,0.172256492,0.34901018,0.284680883,0.273803623
,22.08.2003,0.171656848,0.346847563,0.28165839,0.274216805
,23.08.2003,0.171243319,0.345050826,0.278831713,0.274587335
,24.08.2003,0.170123771,0.343594472,0.276655787,0.274948221
,25.08.2003,0.168052331,0.34156852,0.274715273,0.275312715
,26.08.2003,0.166742273,0.338843014,0.272148115,0.275621103
,27.08.2003,0.166682685,0.336859678,0.269665253,0.275866625
,28.08.2003,0.16663989,0.335569706,0.267619277,0.276012677
,29.08.2003,0.165829025,0.33473054,0.266233316,0.276135532
,30.08.2003,0.162195053,0.332724522,0.265648964,0.27621855
,31.08.2003,0.156308172,0.328718708,0.264451329,0.276251767
,01.09.2003,0.15460048,0.325195315,0.262264673,0.276175381
,02.09.2003,0.155010154,0.323440065,0.260176495,0.27591642
,03.09.2003,0.155884174,0.322922489,0.25877627,0.275528243
,04.09.2003,0.155306843,0.322371991,0.257844313,0.27512381
,05.09.2003,0.156212553,0.321773165,0.257080214,0.274732984
,06.09.2003,0.156914995,0.321829245,0.256632977,0.274408648
,07.09.2003,0.156370386,0.321586195,0.256473595,0.274120908
,08.09.2003,0.154466625,0.320361685,0.256201894,0.27390935
,09.09.2003,0.153891322,0.318986905,0.255602825,0.273721013
,10.09.2003,-9999,0.317730838,0.254895643,0.27350965
,11.09.2003,0.151652627,0.3161893,0.254139878,0.273255471
,12.09.2003,0.151284674,0.314463572,0.253180824,0.272932185
,13.09.2003,0.151513689,0.313608266,0.252298084,0.272572873
,14.09.2003,0.150184403,0.312501108,0.251630329,0.272151285
,15.09.2003,0.149601504,0.310824193,0.250781723,0.271710359
,16.09.2003,0.151034413,0.310179572,0.249876317,0.271263294
,17.09.2003,0.152340158,0.310695754,0.249408964,0.270787093
,18.09.2003,0.149080149,0.309971758,0.249206227,0.270311411
,19.09.2003,0.147478141,0.307181396,0.248365647,0.269921402
,20.09.2003,0.148302851,0.30545572,0.247123064,0.269518643
,21.09.2003,0.149221735,0.304875866,0.246176744,0.268995253
